Campaign,Ad group,Rank,Keyword,Match type,Level,Status,Notes
CCNA Automation 200-901 · US Search,Core Exam Prep,30,"""cisco devnet associate exam prep""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,1,[ccna automation 200 901],Exact,positive,planned,Primary branded exam term
CCNA Automation 200-901 · US Search,Brand & Exam Names,2,[ccna automation],Exact,positive,planned,Broad — watch search terms
CCNA Automation 200-901 · US Search,Brand & Exam Names,3,[200 901],Exact,positive,planned,Very broad — watch CPC
CCNA Automation 200-901 · US Search,Brand & Exam Names,4,[devasc 200 901],Exact,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,5,[cisco devnet associate],Exact,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,6,"""ccna automation 200 901""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,7,"""ccna automation""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,8,"""200 901""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,9,"""devasc""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,10,"""devasc 200 901""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,11,"""devnet associate""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,12,"""cisco devnet associate""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,13,"""ccnaauto""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,14,"""ccna automation v1 1""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Brand & Exam Names,15,"""200 901 v1 1""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,1,[ccna automation labs],Exact,positive,planned,Browser labs wedge
CCNA Automation 200-901 · US Search,Automation Wedge,2,[devnet associate labs],Exact,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,3,[200 901 labs online],Exact,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,4,"""ccna automation labs""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,5,"""devnet associate labs""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,6,"""200 901 labs online""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,7,"""cisco automation labs browser""",Phrase,positive,planned,No VM install wedge
CCNA Automation 200-901 · US Search,Automation Wedge,8,"""python script cisco api practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,9,"""json drag and drop practice""",Phrase,positive,planned,D&D bank
CCNA Automation 200-901 · US Search,Automation Wedge,10,"""rest api practice questions""",Phrase,positive,planned,Blueprint 2.x
CCNA Automation 200-901 · US Search,Automation Wedge,11,"""python api automation practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,12,"""cisco api practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,13,"""netconf restconf practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,14,"""yang model driven programmability practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,15,"""ansible playbook practice cisco""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,16,"""cisco dna center api practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,17,"""meraki api practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,18,"""cicd pipeline practice questions""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,19,"""docker cisco devnet""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,20,"""git devnet associate""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,21,"""infrastructure as code practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,22,"""200 901 rest api questions""",Phrase,positive,planned,Topic long-tail
CCNA Automation 200-901 · US Search,Automation Wedge,23,"""cisco automation practice test""",Phrase,positive,planned,Matches site meta keyword
CCNA Automation 200-901 · US Search,Automation Wedge,24,"""rest api python ansible""",Phrase,positive,planned,Matches site meta keyword
CCNA Automation 200-901 · US Search,Automation Wedge,25,"""ccna automation browser practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,26,"""devnet associate online practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,27,"""cisco devnet practice questions""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Automation Wedge,28,"""network automation exam practice""",Phrase,positive,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,1,"""free course""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,2,"""free questions""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,3,"""free practice questions""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,4,"""free ccna questions""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,5,"""sample questions""",Phrase,negative_campaign,planned,Free-sample seekers
CCNA Automation 200-901 · US Search,Campaign negatives,6,"""training course""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,7,bootcamp,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,8,"""instructor led""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,9,"""unauthorized exam content""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,10,"""exam content""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,11,"""pass guarantee""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,12,"""pdf download""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,13,udemy,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,14,coursera,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,15,boson,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,16,"""cisco netacad""",Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,17,jobs,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,18,salary,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,19,examtopics,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,20,dump,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,21,dumps,Phrase,negative_campaign,planned,
CCNA Automation 200-901 · US Search,Campaign negatives,22,"""ccna 200 301""",Phrase,negative_campaign,planned,Route to CCNA campaign
CCNA Automation 200-901 · US Search,Campaign negatives,23,ccna,Phrase,negative_campaign,planned,Broad CCNA routing — review search terms
CCNA Automation 200-901 · US Search,Campaign negatives,24,comptia,Phrase,negative_campaign,planned,Route to Sec+ campaign
CCNA Automation 200-901 · US Search,Campaign negatives,25,security+,Phrase,negative_campaign,planned,Route to Sec+ campaign
