Date,Day,Account spend USD,Sec+ spend USD,CCNA wedge USD,Other campaigns USD,Taxes and fees USD,Clicks,Account cumulative USD,Cumulative type,Remaining to $500,Remaining to $510,Planned budget per day,Plan at 60/day (from Jun 26),Promo milestone,Notes
2026-06-18,Pre-launch,13.53,,13.53,,,6,228.41,actual,271.59,281.59,,,,
2026-06-19,Pre-launch,10.25,,10.25,,,4,238.66,actual,261.34,271.34,,,,
2026-06-20,Pre-launch,5.90,,5.90,,,2,244.56,actual,255.44,265.44,,,,
2026-06-21,Pre-launch,1.49,,1.49,,,1,246.05,actual,253.95,263.95,,,,
2026-06-22,Pre-launch,,0.00,,,,,246.05,actual,253.95,263.95,,,,
2026-06-23,Launch (partial),,,,,,,246.05,actual,253.95,263.95,,,,Sec+ PBQ campaign live evening; no separate billing line yet
2026-06-24,D1 full,9.63,9.63,,,0.14,4,255.68,actual,244.32,254.32,15,15,,Sec+ 4 clicks $9.63; avg CPC ~$2.41
2026-06-25,D2,24.58,24.58,,,,12,280.26,actual,219.74,229.74,15,30,,Sec+ 12 clicks $24.58; 215 impr; avg CPC ~$2.05; overview export
2026-06-26,D3,,,,,,,340.26,actual+projected,159.74,169.74,60,60,,Projected at $60/day if ccna stays paused
2026-06-27,D4,,,,,,,400.26,actual+projected,99.74,109.74,60,120,,Projected at $60/day if ccna stays paused
2026-06-28,D5,,,,,,,460.26,actual+projected,39.74,49.74,60,180,,Projected at $60/day if ccna stays paused
2026-06-29,D6,,,,,,,520.26,actual+projected,0.00,0.00,60,240,Crosses $500 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-06-30,D7,,,,,,,580.26,actual+projected,0.00,0.00,60,300,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-01,D8,,,,,,,640.26,actual+projected,0.00,0.00,60,360,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-02,D9,,,,,,,700.26,actual+projected,0.00,0.00,60,420,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-03,D10,,,,,,,760.26,actual+projected,0.00,0.00,60,480,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-04,D11,,,,,,,820.26,actual+projected,0.00,0.00,60,540,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-05,D12,,,,,,,880.26,actual+projected,0.00,0.00,60,600,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-06,D13,,,,,,,940.26,actual+projected,0.00,0.00,60,660,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-07,D14,,,,,,,1000.26,actual+projected,0.00,0.00,60,720,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-08,D15,,,,,,,1060.26,actual+projected,0.00,0.00,60,780,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-09,D16,,,,,,,1120.26,actual+projected,0.00,0.00,60,840,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-10,D17,,,,,,,1180.26,actual+projected,0.00,0.00,60,900,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-11,D18,,,,,,,1240.26,actual+projected,0.00,0.00,60,960,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-12,D19,,,,,,,1300.26,actual+projected,0.00,0.00,60,1020,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-13,D20,,,,,,,1360.26,actual+projected,0.00,0.00,60,1080,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-14,D21,,,,,,,1420.26,actual+projected,0.00,0.00,60,1140,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-15,D22,,,,,,,1480.26,actual+projected,0.00,0.00,60,1200,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-16,D23,,,,,,,1540.26,actual+projected,0.00,0.00,60,1260,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-17,D24,,,,,,,1600.26,actual+projected,0.00,0.00,60,1320,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-18,D25,,,,,,,1660.26,actual+projected,0.00,0.00,60,1380,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused
2026-07-19,D26,,,,,,,1720.26,actual+projected,0.00,0.00,60,1440,Crosses $510 promo threshold (projected),Projected at $60/day if ccna stays paused | Promo deadline — confirm $500 in Ads widget
