Campaign,Ad group,Rank,Keyword,Match type,Level,Status,Notes
Paint Reproductions · US Search,Free / Online Learning,145,(oil painting tutorial for beginners),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,146,"""oil painting tutorial for beginners""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,147,oil painting tutorial for beginners,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,148,(learn oil painting online free),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,149,"""learn oil painting online free""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,150,learn oil painting online free,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,151,(online oil painting course free),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,152,"""online oil painting course free""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,153,online oil painting course free,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,154,(step-by-step painting tutorials),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,155,"""step-by-step painting tutorials""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,156,step-by-step painting tutorials,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,157,(pro painting free classes),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,158,"""pro painting free classes""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,159,pro painting free classes,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,160,(grisaille painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,161,"""grisaille painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,162,grisaille painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,163,(grisaille techniques),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,164,"""grisaille techniques""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,165,grisaille techniques,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,166,(oil painting grisaille),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,167,"""oil painting grisaille""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,168,oil painting grisaille,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,169,(glazing oil paintings),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,170,"""glazing oil paintings""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,171,glazing oil paintings,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,172,(glazing and layering in oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,173,"""glazing and layering in oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,174,glazing and layering in oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,175,(underpainting tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,176,"""underpainting tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,177,underpainting tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,178,(blocking in oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,179,"""blocking in oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,180,blocking in oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,181,(layered oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,182,"""layered oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,183,layered oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,184,(limited palette oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,185,"""limited palette oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,186,limited palette oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,187,(scumbling oil paint),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,188,"""scumbling oil paint""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,189,scumbling oil paint,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,190,(grisaille painting tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,191,"""grisaille painting tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,192,grisaille painting tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,193,(oil glazing technique),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,194,"""oil glazing technique""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,195,oil glazing technique,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,196,(how to glaze oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,197,"""how to glaze oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,198,how to glaze oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,199,(glazing medium oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,200,"""glazing medium oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,201,glazing medium oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,202,(winsor newton glazing medium),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,203,"""winsor newton glazing medium""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,204,winsor newton glazing medium,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,205,(fat over lean oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,206,"""fat over lean oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,207,fat over lean oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,208,(imprimatura oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,209,"""imprimatura oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,210,imprimatura oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,211,(how to paint with a limited palette),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,212,"""how to paint with a limited palette""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,213,how to paint with a limited palette,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,214,(glazing oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,215,"""glazing oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Grisaille Glazing,216,glazing oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,217,(oil painting flesh tones),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,218,"""oil painting flesh tones""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,219,oil painting flesh tones,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,220,(painting skin tones oil),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,221,"""painting skin tones oil""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,222,painting skin tones oil,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,223,(how to paint flesh tones),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,224,"""how to paint flesh tones""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,225,how to paint flesh tones,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,226,(portrait flesh tones oil),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,227,"""portrait flesh tones oil""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,228,portrait flesh tones oil,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,229,(painting skin tones in oil),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,230,"""painting skin tones in oil""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,231,painting skin tones in oil,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,232,(how to mix flesh tones oil paint),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,233,"""how to mix flesh tones oil paint""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,234,how to mix flesh tones oil paint,Broad,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,235,(realistic skin tones oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,236,"""realistic skin tones oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Techniques Flesh Color,237,realistic skin tones oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,238,(color checker painting),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,239,"""color checker painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,240,color checker painting,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,241,(build a color checker),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,242,"""build a color checker""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,243,build a color checker,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,244,(proportional divider art),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,245,"""proportional divider art""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,246,proportional divider art,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,247,(proportional divider painting),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,248,"""proportional divider painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,249,proportional divider painting,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,250,(transfer image to canvas),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,251,"""transfer image to canvas""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,252,transfer image to canvas,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,253,(canvas preparation gesso),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,254,"""canvas preparation gesso""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,255,canvas preparation gesso,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,256,(color checker for painting),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,257,"""color checker for painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,258,color checker for painting,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,259,(how to use a color checker painting),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,260,"""how to use a color checker painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,261,how to use a color checker painting,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,262,(proportional divider tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,263,"""proportional divider tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,264,proportional divider tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,265,(how to transfer drawing to canvas),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,266,"""how to transfer drawing to canvas""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,267,how to transfer drawing to canvas,Broad,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,268,(sketch with oil paint),Exact,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,269,"""sketch with oil paint""",Phrase,positive,planned,
Paint Reproductions · US Search,Tools Color Checker,270,sketch with oil paint,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,271,(vermeer painting tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,272,"""vermeer painting tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,273,vermeer painting tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,274,(vermeer technique),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,275,"""vermeer technique""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,276,vermeer technique,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,277,(how to paint like vermeer),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,278,"""how to paint like vermeer""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,279,how to paint like vermeer,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,280,(paint like vermeer),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,281,"""paint like vermeer""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,282,paint like vermeer,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,283,(copying vermeer),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,284,"""copying vermeer""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,285,copying vermeer,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,286,(johannes vermeer technique),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,287,"""johannes vermeer technique""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,288,johannes vermeer technique,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,289,(vermeer reproduction),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,290,"""vermeer reproduction""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,291,vermeer reproduction,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,292,(vermeer realism),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,293,"""vermeer realism""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,294,vermeer realism,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,295,(vermeer study),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,296,"""vermeer study""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,297,vermeer study,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,298,(vermeer grisaille),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,299,"""vermeer grisaille""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,300,vermeer grisaille,Broad,positive,planned,
Paint Reproductions · US Search,Vermeer,301,(the lacemaker vermeer),Exact,positive,planned,
Paint Reproductions · US Search,Vermeer,302,"""the lacemaker vermeer""",Phrase,positive,planned,
Paint Reproductions · US Search,Vermeer,303,the lacemaker vermeer,Broad,positive,planned,
