discovered_at,source_id,source_url,source_version,source_question_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,stated_answer,topic_notes,date_found,bct_match_score,bct_match_slug
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,12,Which action does the Git command git merge allow the development to perform?,1. Combine multiple sequence of commits into one unified history.,2. Push changes to the remote repository,3. Switch between branches,"4. Create, list, rename, and delete branches",,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.20,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,13,"Which CI/CD tool is an automation tool used to build, test, and deploy software?",1. Nagios,2. Gradle,3. Jenkins,4. Git,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.15,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,14,Which mechanism is used to consume a RESTful API design when large amounts of data are returned?,1. Data sets,2. Scrolling,3. Blobs,4. Pagination,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.22,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,16,What is the benefit of edge computing?,1. It reduces ne two« k latency by moving processing doser to the data source.,2. It simplifies security as devices and processing are brought doser together,3. It removes the need for centralized data processing.,4. It reduces data velocity from devices or other data sources.,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.22,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,17,Which line is an example of the start of a chunk from a unified diff?,"1. @@ -90,88 +20191008T1349@@","2. @@ -20191007T1200 +88,90 @@",3. @@ -20191007T1200 +20191008T1349@@,"4. @@ -88,10 +88,6 @@",,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.18,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,18,What are two advantages of the Model-view-controller software design pattern?,1. simplifies network automation,2. allows for multiple views of the same model,3. makes code easier to deploy using Cl/CD pipelines,4. reduces need for error handling,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.29,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,19,Which PAI is used to obtain data voicemail ports?,1. Finesse gadgets,2. Cisco Unified Communications manager,3. Webex devices,4. Webex teams,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.20,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,20,What are two security benefits of a Docker-based application?,1. easier to patch because Docker containers include only dependencies that the application requires,2. prevents information leakage that can occur when unhandled exceptions are returned in HTTP responses,3. allows for separation of application that traditionally run in the same host,4. natively secures access to secrets that are used by the running application,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.36,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,21,Which two elements are foundational principles of DevOps?,1. designing applications as microservices,2. encouraging containers for the deployment of applications,3. organizing cross-functional teams over organizational silos,4. optimizing the cost of infrastructures,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.25,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,23,"Package updates from a local server fail to download. However, the same updates work when a much slower external repository is used. Way are local updates failing?",1. The update utility is trying to use a proxy to access the internal resource.,2. The Internet connection is too slow.,"3. The Internet is down at the moment, which causes the local server to not be able to respond.",4. The server is running out of disk space.,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.12,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,25,"In python, which expression checks whether the script returns a success status code when the Requests library is used?",1. 1. response.status_code== requests.ok,2. 2.,3. 3. response.code==,4. 4. response.status_code ! ==,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.16,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,26,What are two benefit of managing network configuration via APIs?,1. configuration on devices becomes less complex,2. more security due to locking out manual device configuration,3. increased scalability and consistency of network changes,4. eliminates the need of legacy management protocols like SNMP,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.36,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,27,Which two encoding formats do YANG interfaces support?,1. JSON,2. XML,3. XHTML,4. Plain text,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.25,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,28,Which way should be used to safely the API keys?,1. In an environment variable unique to the system database,2. Encrypted in a configuration file that is separate from the code,3. Encrypted in the code in a function,4. Plain text in the code as a constant,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.25,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,29,Which platform is run directly using a hypervisor?,1. Virtual,2. Bare metal systems,3. Containers,4. Applications,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.17,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,30,A developer is writing an application that a REST API and the application requires a valid from the API which element of the response is used in the conditional check?,1. URL,2. Status code,3. Link,4. Body,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.20,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,31,On which network plane is routing protocol traffic handled?,1. data plane,2. management plane,3. authentication plane,4. control plane,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.27,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,33,Which two statements about JSON and XML are true?,1. JSON objects arc collection of key value paire.,"2. The syntax of JSON contains tags, elements, and attributes.",3. JSON arrays are an unordered set of key value pairs.,"4. The syntax of XML contains tags, elements, and attributes.",,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.40,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,34,Which action resolves a 401 error in response to an HTTP GET that is issued to retrieve statement using RESTCONF on a CSR 1000V?,1. Change the HTTP method to PUT.,2. Change the transport protocol to HTTPS.,3. Check the MIMF types in the HTTP headers.,4. Check the authentication credentials.,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.15,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,38,"A developer is reviewing a code that was written by a colleague. It runs fine, but there are many lines of code to do a seemingly simple task repeatedly. Which action organizes the code?",1. Refactor the code by removing any unnecessary tests,"2. Using functions, rewrite any pieces of code that are repeated",3. Reverse engineer and rewrite the code logic,4. Modify the code to use loops,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.11,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,39,Which type of threat occur when an attacker can send hostile data to an interpreter within an application?,1. Cross-site scripting,2. Sensitive data exposure,3. Broken authentication,4. Injection,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.20,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,40,What should a CI/CD pipeline aim to achieve?,1. to allow manual testing before deployment,2. to require minimal manual interaction,3. to support new deployments on a fixed monthly schedule,4. to provide a documented process for feedback,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.17,
