Done,Section,Phase,Step,Task,Value,Ad group,Notes
FALSE,Setup,Ad group,3,Set final URL,https://becertifiedtoday.com/secplus/pbq-practice-browser.html?utm_source=google&utm_medium=cpc&utm_campaign=secplus_wedge_pbq&utm_content=pbq-wedge,SEC+_Wedge_PBQ,Wedge landing — not comptia-sec+-home
FALSE,Setup,Ad group,4,Add exact keyword,[security+ pbq practice],SEC+_Wedge_PBQ,Verify in Planner
FALSE,Setup,Ad group,5,Add exact keyword,[sy0-701 pbq],SEC+_Wedge_PBQ,Verify in Planner
FALSE,Setup,Ad group,6,Add exact keyword,[security+ performance based questions],SEC+_Wedge_PBQ,Verify in Planner — add only if volume
FALSE,Setup,Ad group,7,Add exact keyword,[comptia security+ pbq],SEC+_Wedge_PBQ,Verify in Planner — optional
FALSE,Setup,Ad group,8,Add phrase keyword,"security+ pbq practice",SEC+_Wedge_PBQ,Verify in Planner
FALSE,Setup,Ad group,9,Add phrase keyword,"security+ performance based questions",SEC+_Wedge_PBQ,Verify in Planner
FALSE,Setup,Ad group,10,Add phrase keyword,"security+ pbq practice online",SEC+_Wedge_PBQ,Verify in Planner
FALSE,Setup,Ad group,11,Add phrase keyword,"comptia security+ pbq",SEC+_Wedge_PBQ,Verify in Planner
FALSE,Setup,Ad group,12,Add phrase keyword,"sy0-701 performance based",SEC+_Wedge_PBQ,Verify in Planner
FALSE,Setup,Ad group,13,Add phrase keyword,"sy0-701 pbq practice",SEC+_Wedge_PBQ,Verify in Planner
FALSE,Setup,Ad group,14,Add phrase keyword,"security+ simulation online",SEC+_Wedge_PBQ,Differentiator — low Planner vol OK
FALSE,Setup,Ad group,15,Add phrase keyword,"security+ pbq browser",SEC+_Wedge_PBQ,Differentiator — no download
FALSE,Setup,Ad group,16,Add phrase keyword,"security+ pbq chain lab",SEC+_Wedge_PBQ,Maps to chain lab product
FALSE,Setup,Ad group,17,Add phrase keyword,"security+ interactive practice",SEC+_Wedge_PBQ,Anti-PDF angle
FALSE,Setup,Ad group,18,Paste all 15 RSA headlines,See Headline rows below,SEC+_Wedge_PBQ,Pin rows marked Pin H1 and Pin H2
FALSE,Setup,Ad group,19,Paste all 4 RSA descriptions,See Description rows below,SEC+_Wedge_PBQ,
FALSE,Setup,Extensions,1,Add sitelink · Free Dark Web PBQ,https://becertifiedtoday.com/secplus-sample?track=sim-dark-web&utm_source=google&utm_medium=cpc&utm_campaign=secplus_wedge_pbq&utm_content=sitelink-pbq,Campaign,Desc1: Hands-on IR scenario · Desc2: No checkout required
FALSE,Setup,Extensions,2,Add sitelink · Free Practice Questions,https://becertifiedtoday.com/secplus-sample?track=questions&utm_source=google&utm_medium=cpc&utm_campaign=secplus_wedge_pbq&utm_content=sitelink-sample,Campaign,Desc1: SY0-701 MCQ preview · Desc2: Instant feedback free
FALSE,Setup,Extensions,3,Add sitelink · 28 PBQ Scenarios,https://becertifiedtoday.com/secplus/pbq-practice-browser.html?utm_source=google&utm_medium=cpc&utm_campaign=secplus_wedge_pbq&utm_content=sitelink-pbq-list,Campaign,Desc1: Chain labs & hot spots · Desc2: Browser-only prep
FALSE,Setup,Extensions,4,Add sitelink · 10-Day Access · $9.99,https://becertifiedtoday.com/comptia-sec+-home.html#purchase?utm_source=google&utm_medium=cpc&utm_campaign=secplus_wedge_pbq&utm_content=portal-10d,Campaign,Desc1: 1000+ Qs + PBQ library · Desc2: One-time no subscription
FALSE,Setup,Extensions,5,Add sitelink · 90-Min Timed Exam Sim,https://becertifiedtoday.com/comptia-sec+-home.html#purchase?utm_source=google&utm_medium=cpc&utm_campaign=secplus_wedge_pbq&utm_content=sitelink-sim,Campaign,Desc1: MCQ + PBQ mixed run · Desc2: Adaptive review included
FALSE,Setup,Extensions,6,Add sitelink · Security+ Exam Prep Home,https://becertifiedtoday.com/comptia-sec+-home.html?utm_source=google&utm_medium=cpc&utm_campaign=secplus_wedge_pbq&utm_content=sitelink-home,Campaign,Desc1: Full SY0-701 portal · Desc2: Samples + pricing
FALSE,Setup,Negatives,1,Campaign negative phrase,"free course",Campaign,
FALSE,Setup,Negatives,2,Campaign negative phrase,"training course",Campaign,
FALSE,Setup,Negatives,3,Campaign negative phrase,bootcamp,Campaign,
FALSE,Setup,Negatives,4,Campaign negative phrase,"instructor led",Campaign,
FALSE,Setup,Negatives,5,Campaign negative phrase,"brain dump",Campaign,
FALSE,Setup,Negatives,6,Campaign negative phrase,"exam dump",Campaign,
FALSE,Setup,Negatives,7,Campaign negative phrase,"guaranteed pass",Campaign,
FALSE,Setup,Negatives,8,Campaign negative phrase,"pdf download",Campaign,
FALSE,Setup,Negatives,9,Campaign negative phrase,udemy,Campaign,
FALSE,Setup,Negatives,10,Campaign negative phrase,coursera,Campaign,
FALSE,Setup,Negatives,11,Campaign negative phrase,boson,Campaign,
FALSE,Setup,Negatives,12,Campaign negative phrase,"professor messer",Campaign,
FALSE,Setup,Negatives,13,Campaign negative phrase,"dion training",Campaign,
FALSE,Setup,Negatives,14,Campaign negative phrase,jobs,Campaign,
FALSE,Setup,Negatives,15,Campaign negative phrase,salary,Campaign,
FALSE,Setup,Negatives,16,Campaign negative phrase,examtopics,Campaign,
FALSE,Setup,Negatives,17,Campaign negative phrase,"security+ practice test",Campaign,Head term — separate portal campaign
FALSE,Setup,Negatives,18,Campaign negative phrase,"security+ question bank",Campaign,Head term — separate portal campaign
FALSE,Setup,Negatives,19,Campaign negative phrase,"comptia security+ practice test",Campaign,Head term — separate portal campaign
FALSE,Setup,Negatives,20,Campaign negative phrase,"sy0-701 question bank",Campaign,Head term — separate portal campaign
FALSE,Setup,Negatives,21,Campaign negative phrase,ccna,Campaign,Cross-cert junk
FALSE,Setup,Negatives,22,Campaign negative phrase,cissp,Campaign,Cross-cert junk
FALSE,Setup,Negatives,23,Ad group negative phrase,course,SEC+_Wedge_PBQ,
FALSE,Setup,Negatives,24,Ad group negative phrase,dump,SEC+_Wedge_PBQ,
FALSE,Setup,Negatives,25,Ad group negative phrase,pdf,SEC+_Wedge_PBQ,
FALSE,Setup,Negatives,26,Ad group negative phrase,jobs,SEC+_Wedge_PBQ,
FALSE,Setup,Negatives,27,Ad group negative phrase,training,SEC+_Wedge_PBQ,
FALSE,Setup,Launch,1,Enable campaign and SEC+_Wedge_PBQ ad group,,Campaign,
FALSE,Setup,Launch,2,Open final URL — verify pricing cards + FAQ load,,SEC+_Wedge_PBQ,Hard refresh if cached
FALSE,Setup,Launch,3,Click free dark web PBQ sample CTA from landing,,SEC+_Wedge_PBQ,Same browser UI as paid
FALSE,Setup,Launch,4,Click through $9.99 checkout — confirm Stripe,,SEC+_Wedge_PBQ,
FALSE,Setup,Launch,5,Confirm GA4 begin_checkout in Realtime,,Campaign,secplus_portal_10d or secplus_portal_30d
FALSE,Setup,Launch,6,Test sitelinks on mobile,,Campaign,
FALSE,Ops,Week 1,1,Status,Live — SEC+_Wedge_PBQ launch,Campaign,First 7 days baseline
FALSE,Ops,Week 1,2,Do not change,Budget bidding locations or RSA copy,Campaign,Collect baseline only
FALSE,Ops,Week 1,3,Daily,Check impressions clicks spend,Campaign,
FALSE,Ops,Week 1,4,Daily,Check GA4 begin_checkout count,Campaign,
FALSE,Ops,Week 1,5,Day 3,Search terms review — add junk negatives,Campaign,
FALSE,Ops,Week 1,6,Day 7,Review CTR CPC CPA — promote converters to exact,Campaign,Log in wedge action plan
FALSE,Ops,Week 2-4,1,Review CPA and search terms weekly,,Campaign,
FALSE,Ops,Week 2-4,2,Pause keywords with spend and zero checkouts,,SEC+_Wedge_PBQ,
FALSE,Ops,Week 2-4,3,Switch to Maximize conversions,After 15-20 begin_checkout events,Campaign,
FALSE,Ops,Week 2-4,4,Expand to Tier A countries,If US CPA acceptable,Campaign,See secplus-portal-10d-google-ads.md
FALSE,Ops,Scale,1,Increase budget,$12-15/day,Campaign,Only if CPA holds
FALSE,Ops,Scale,2,Add ad group SEC+_Wedge_Timed,When timed landing page is live,Campaign,20-25% of wedge budget
FALSE,Headline,SEC+_Wedge_PBQ,1,RSA headline,Security+ PBQ Practice,Pin H1,24 chars
FALSE,Headline,SEC+_Wedge_PBQ,2,RSA headline,$9.99 · 10-Day Access,Pin H2,22 chars
FALSE,Headline,SEC+_Wedge_PBQ,3,RSA headline,SY0-701 PBQ in Browser,,24 chars
FALSE,Headline,SEC+_Wedge_PBQ,4,RSA headline,28 PBQ Scenarios,,18 chars
FALSE,Headline,SEC+_Wedge_PBQ,5,RSA headline,Chain Labs & Hot Spots,,23 chars
FALSE,Headline,SEC+_Wedge_PBQ,6,RSA headline,Free Dark Web PBQ Sample,,24 chars
FALSE,Headline,SEC+_Wedge_PBQ,7,RSA headline,No Download · Browser PBQ,,25 chars
FALSE,Headline,SEC+_Wedge_PBQ,8,RSA headline,Performance-Based Prep,,22 chars
FALSE,Headline,SEC+_Wedge_PBQ,9,RSA headline,Phone Tablet Desktop,,20 chars
FALSE,Headline,SEC+_Wedge_PBQ,10,RSA headline,Verified SY0-701 Answers,,24 chars
FALSE,Headline,SEC+_Wedge_PBQ,11,RSA headline,Timed 90-Min Exam Sim,,21 chars
FALSE,Headline,SEC+_Wedge_PBQ,12,RSA headline,1000+ MCQ Included,,18 chars
FALSE,Headline,SEC+_Wedge_PBQ,13,RSA headline,Adaptive Review Modes,,21 chars
FALSE,Headline,SEC+_Wedge_PBQ,14,RSA headline,Be Certified Today,,18 chars
FALSE,Headline,SEC+_Wedge_PBQ,15,RSA headline,Try Free PBQ First,,18 chars
FALSE,Description,SEC+_Wedge_PBQ,1,RSA description,Practice SY0-701 PBQs in your browser—chain labs drag-and-drop and IR scenarios.,,78 chars
FALSE,Description,SEC+_Wedge_PBQ,2,RSA description,Try a free dark web IR simulation. Unlock 28 PBQ scenarios + 1000+ questions for $9.99/10d.,,89 chars
FALSE,Description,SEC+_Wedge_PBQ,3,RSA description,No PDF dumps. Interactive performance-based prep on phone tablet or desktop.,,77 chars
FALSE,Description,SEC+_Wedge_PBQ,4,RSA description,Same browser UI as test day. One-time payment—no subscription.,,62 chars
