discovered_at,source_id,source_url,source_version,source_question_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,stated_answer,topic_notes,date_found
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,13,Which two must be met before SSH can operate normally on a Cisco IOS switch?,1. A. The switch must be running a k9 (crypto) IOS image.,2. B. The ip domain-name command must be configured on the switch.,3. C. IP routing must be enabled on the switch.,4. D. A console password must be configured on the switch.,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,14,Which type of address is the public IP address of a NAT device?,1. A. outside global,2. B. outsdwde local,3. C. inside global,4. D. insride local,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,16,In Which way does a spine-and-leaf architecture allow for scalability in a network when additional access ports are required?,1. A. A spine switch and a leaf switch can be added with redundant connections between them.,2. B. A spine switch can be added with at least 40 GB uplinks.,3. C. A leaf switch can be added with a single connection to a core spine switch.,4. D. A leaf switch can be added with connections to every spine switch,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,17,Which two actions are performed by the Weighted Random Early Detection mechanism?,1. A. It drops lower-priority packets before it drops higher-priority packets.,2. B. It can identify different flows with a high level of granularity.,3. C. It guarantees the delivery of high-priority packets.,4. Correct selection,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,18,A network engineer must back up 20 network router configurations globally within a customer environment. Which protocol allows the engineer to perform this function using the Cisco IOS MIB?,1. A. CDP,2. B. SNMP,3. C. SMTP,4. D. ARP,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,19,A frame that enters a switch fails the Frame Check Sequence. Which two interface counters are incremented?,1. A. runts,2. B. giants,3. C. frame,4. D. CRC,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,21,Which configuration is needed to generate an RSA key for SSH on a router?,1. A. Configure the version of SSH.,2. B. Configure VTY access.,3. C. Create a user with a password.,4. D. Assign a DNS domain name.,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,23,A Cisco IP phone receive untagged data traffic from an attached PC. Which action is taken by the phone?,1. A. It allows the traffic to pass through unchanged.,2. B. It drops the traffic.,3. C. It tags the traffic with the default VLAN.,4. D. It tags the traffic with the native VLAN.,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,24,An engineer must configure a /30 subnet between two routers. Which usable IP address and subnet mask combination meets this criteria?,1. A. interface e0/0,2. description to HQ-A370:98968,3. ip address 10.2.1.3 255.255.255.252,4. B. interface e0/0,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,25,What is a benefit of using a Cisco Wireless LAN Controller?,1. A. Central AP management requires more complex configurations.,2. B. Unique SSIDs cannot use the same authentication method.,3. C. It supports autonomous and lightweight APs.,4. D. It eliminates the need to configure each access point individually.,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,26,Which two outcomes are predictable behaviors for HSRP?,1. A. The two routers share a virtual IP address that is used as the default gateway for devices on the LAN.,2. B. The two routers negotiate one router as the active router and the other as the standby router.,3. D. The two routers synchronize configurations to provide consistent packet forwarding.,"4. E. The two routed share the same IP address, and default gateway traffic is load-balanced between them.",,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,28,Which 802.11 frame type is association response?,1. A. management,2. B. protected frame,3. C. control,4. D. action,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,29,Which two tasks must be performed to configure NTP to a trusted server in client mode on a single network device?,1. A. Enable NTP authentication.,2. B. Verify the time zone.,3. C. Disable NTP broadcasts.,4. D. Specify the IP address of the NTP server.,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,30,"When the active router in an HSRP group fails, what router assumes the role and forwards packets?",1. A. forwarding,2. B. listening,3. C. standby,4. D. backup,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,31,What are two characteristics of a controller-based network?,1. A. The administrator can make configuration updates from the CLI.,2. B. It uses northbound and southbound APIs to communicate between architectural layers.,3. C. It moves the control plane to a central point.,"4. D. It decentralizes the control plane, which allows each device to make its own forwarding decisions.",,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,32,"Router A learns the same route from two different neighbors, one of the neighbor routers is an OSPF neighbor and the other is an EIGRP neighbor. What is the administrative distance of the route that will be installed in the routing table?",1. A. 20,2. B. 90,3. C. 110,4. D. 115,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,33,Which attribute does a router use to select the best path when two or more different routes to the same destination exist from two different routing protocols?,1. A. dual algorithm,2. B. metric,3. C. administrative distance,4. D. hop count,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,34,What is the primary effect of the spanning-tree portfast command?,1. A. It enables BPDU messages,2. B. It minimizes spanning-tree convergence time,3. C. It immediately puts the port into the forwarding state when the switch is reloaded,4. D. It immediately enables the port in the listening state,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,35,Which unified access point mode continues to serve wireless clients after losing connectivity to the Cisco Wireless LAN Controller?,1. A. sniffer,2. B. mesh,3. C. flexconnect,4. D. local,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,36,What is the default behavior of a Layer 2 switch when a frame with an unknown destination MAC address is received?,1. A. The Layer 2 switch drops the received frame.,2. B. The Layer 2 switch floods packets to all ports except the receiving port in the given VLAN.,3. C. The Layer 2 switch sends a copy of a packet to CPU for destination MAC address learning.,4. D. The Layer 2 switch forwards the packet and adds the destination MAC address to its MAC address table.,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,37,Which two encoding methods are supported by REST APIs?,1. A. YAML,2. B. JSON,3. C. EBCDIC,4. D. SGML,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,38,Which IPv6 address block sends packets to a group address rather than a single address?,1. A. 2000::/3,2. B. FC00::/7,3. C. FE80::/10,4. D. FF00::/8,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,39,What are two reasons that cause late collisions to increment on an Ethernet interface?,1. A. when the sending device waits 15 seconds before sending the frame again,2. B. when the cable length limits are exceeded,3. C. when one side of the connection is configured for half-duplex,4. D. when Carner Sense Multiple Access/Collision Detection is used,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,40,Which two values or settings must be entered when configuring a new WLAN in the Cisco Wireless LAN Controller GUI?,1. A. management interface settings,2. B. QoS settings,3. C. Ip address of one or more access points,4. D. SSID,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,6,What topics are covered in the Cisco CCNA exam?,1. The CCNA exam covers:,2. Network Fundamentals,3. IP Connectivity,4. Network Access,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,10,What jobs can I apply for after earning the CCNA certification?,"1. After earning the CCNA certification, candidates can apply for roles such as:",2. Network Administrator,3. Network Support Engineer,4. Junior Network Engineer,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,certimaan-ccna-samples,https://www.certimaan.com/post/ccna-sample-questions,200-301 v1.1,13,What are the best official resources for CCNA preparation?,1. Some useful official resources include:,2. Cisco Learning Network,3. Cisco Networking Academy,4. Cisco Packet Tracer,,,,Tier C — dumps SEO on site; 90+ static MCQs; verify on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,26278,"A junior network administrator is hardening a new Cisco IOS router and wants a warning banner to appear on every console, SSH, and Telnet session before the user is prompted for a username or password. Which global-configuration command creates this pre-authentication banner?",A. banner motd ^C,B. banner motd #,C. banner motd,,,,"A,B,C",Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20142,A network engineer needs to configure Network Address Translation (NAT) on a router to translate multiple internal private IP addresses to a pool of public IP addresses provided by the ISP. The public address pool ranges from 209.165.200.226 to 209.165.200.230 with a netmask of 255.255.255.248. Which command should the engineer use to define the NAT pool?,A. ip nat inside source list 1 pool NET_POOL overload,B. ip nat pool NET_POOL 209.165.200.225 209.165.200.229 netmask 255.255.255.248,C. ip nat inside source static 192.168.1.1 209.165.200.226,D. ip nat pool NET_POOL 209.165.200.226 209.165.200.230 netmask 255.255.255.248,,,D,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20082,"As a network engineer, you need to display detailed information about the neighboring devices connected to your switch using a vendor-neutral, industry-standard discovery protocol. Which command should you use to accomplish this?",A. show cdp neighbors detail,B. show lldp interface,C. show mac address-table,D. show lldp neighbors detail,,,D,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20193,"In a broadcast network running OSPF, which criterion is most significant in determining the election of the Designated Router (DR)?",A. The router with the longest uptime in the network,B. The router with the highest interface priority value,C. The router with the lowest MAC address on the interface,D. The router with the highest Router ID,,,B,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20101,"When a router learns multiple routes to the same destination network through the same routing protocol, which component does it use to determine the preferred path?",A. Next hop,B. Prefix length,C. Administrative distance,D. Metric,,,D,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20112,On which type of switch interface should the PortFast feature be enabled to accelerate spanning tree convergence without risking Layer 2 loops?,A. A trunk port carrying multiple VLANs between two switches,B. A Layer 2 access port that connects to a single workstation or server,C. A Layer 2 EtherChannel bundle between distribution and core switches,D. An uplink configured with Root Guard to another switch,,,B,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,19814,Which capability is provided by a Layer 3 switch but not by a Layer 2 switch?,A. Routing traffic between different IP subnets by using Switched Virtual Interfaces (SVIs),B. Learning source MAC addresses and populating a CAM table,C. Adding and interpreting IEEE 802.1Q VLAN tags on trunk links,D. Forwarding frames within the same VLAN based on destination MAC address,,,A,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20021,Which command should be applied to a Cisco router's VTY lines to allow only encrypted remote management sessions?,A. login local,B. transport input all,C. transport input ssh,D. password cisco,,,C,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20314,Which of the following is a primary application of Artificial Intelligence (AI) and Machine Learning (ML) in network operations?,A. Manually configuring VLANs and access control lists on a switch.,B. Proactively identifying unusual traffic patterns that may indicate a security threat or performance issue.,C. The initial creation of network topology diagrams and documentation.,D. Serving as the data encoding format for RESTful API calls.,,,B,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20277,"In a RESTful API, which HTTP method is typically used to create a new resource on the server?",A. POST,B. DELETE,C. PUT,D. GET,,,A,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,19897,Which of the following is a primary advantage of utilizing cloud-based network services instead of on-premises services?,A. Improved control over physical hardware,B. Reduced latency due to proximity,C. Enhanced security due to isolation from the Internet,D. Scalability without the need for additional physical infrastructure,,,D,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20272,Which technology helps network administrators detect unusual network activity by modeling typical network behavior over time?,A. Static analysis tools,B. Network simulation software,C. Manual configuration reviews,D. Machine learning algorithms,,,D,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,19863,"During the initial setup of a Catalyst 9300 switch you run the command show vlan brief and notice that every interface is listed under VLAN 1 (default). Regarding this default VLAN on Cisco switches, which statement is correct?",A. It is designated for voice traffic.,B. It is assigned by default to all ports and cannot be deleted.,C. It can be removed to enhance security.,D. It is used only for management traffic.,,,B,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,19883,Which controller provides centralized management and automation for both wired and wireless network devices in an enterprise?,A. Wireless LAN Controller,B. Access Point,C. Layer 2 Switch,D. Cisco DNA Center,,,D,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20197,Which command configures a static inside source NAT mapping of an internal IP address 192.168.1.10 to an external IP address 203.0.113.10 on a Cisco router?,A. ip nat inside source dynamic 192.168.1.10 203.0.113.10,B. ip nat pool 192.168.1.10 203.0.113.10,C. ip nat inside source static 192.168.1.10 203.0.113.10,D. ip nat outside source static 192.168.1.10 203.0.113.10,,,C,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,19885,Which statement accurately describes the primary role of a server within a client-server network architecture?,A. It connects end devices within the same local network using MAC addresses.,B. It initiates requests for services and resources from other devices on the network.,C. It primarily functions to forward data packets between different networks.,"D. It provides centralized services and resources, such as file storage and application hosting, to client devices.",,,D,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20019,"According to the IEEE 802.1Q standard, what is the total size of the VLAN tag that is inserted into an Ethernet frame?",A. 4 bytes,B. 12 bytes,C. 8 bytes,D. 2 bytes,,,A,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,crucialexams-ccna-samples,https://crucialexams.com/study/tests/cisco/200-301/auto?DemoMode=True&ShowTest=True,200-301 v1.1,20181,"As a network administrator, you are tasked with configuring RouterA to forward packets destined for networks not in its routing table to the next-hop IP address 192.168.1.1. Which command should you use in global configuration mode to set this up for IPv4 traffic?",A. ip default-gateway 192.168.1.1,B. ip route 0.0.0.0 0.0.0.0 192.168.1.1,C. ip route 0.0.0.0 255.255.255.255 192.168.1.1,D. ip route any any 192.168.1.1,,,B,Tier B — free demo up to 20 Q; verify answer on Cisco Tier A,2026-06-14
2026-06-14,examcollection-ccna,https://www.examcollection.com/200-301-dumps.html,200-301 v1.1,1,: Which two statements correctly describe how the Spanning Tree Protocol (STP) operates in a network?,A. STP prevents routing loops in Layer 3 networks,B. STP avoids switching loops within Layer 2 domains,C. The root bridge is chosen based solely on the lowest MAC address,D. The root bridge is elected based on the lowest bridge priority,"E. STP guarantees full resolution of all redundancy-related network issues Correct Answers: B, D Explanation: Spanning Tree Protocol (STP) is a foundational mechanism in Layer 2 networking, primarily designed to prevent switching loops in Ethernet-based topologies. These loops can be extremely harmful because Layer 2 devices, such as switches, lack loop-prevention logic by default. When broadcast frames loop indefinitely, they lead to broadcast storms that degrade network performance or cause complete outages. Option B is correct because STP’s primary role is to eliminate Layer 2 switching loops by intentionally blocking redundant paths in a network topology. This ensures that data flows in a single, loop-free direction, even when redundant links exist to provide failover capabilities. STP actively monitors the network and recalculates the spanning tree topology whenever changes occur, such as a switch going offline or a new switch being added. Option D is also correct. The election of a root bridge—the central switch that all others calculate their best path to—is determined by the bridge ID, which consists of the bridge priority and MAC address. The switch with the lowest bridge priority becomes the root bridge. If multiple switches share the same priority (default is often 32768), then the switch with the lowest MAC address is chosen. Therefore, bridge priority is the primary factor, and MAC address is used only as a tie-breaker. Now, why are the other options incorrect? Option A is inaccurate because STP operates exclusively at Layer 2, dealing with MAC addresses. It is not involved in Layer 3 routing, where protocols like RIP, OSPF, and BGP are used to prevent routing loops. Option C is misleading. While MAC address plays a role, it is not the sole criterion for root bridge election—it only comes into play if bridge priorities are equal. Option E is an overstatement. Although STP is effective in preventing loops, it does not address every issue caused by redundant links. For instance, STP may introduce slow convergence times, and misconfigurations can still lead to unanticipated network outages or suboptimal path selection. In summary, STP is essential for ensuring a stable and loop-free Layer 2 environment. It does so by electing a root bridge based primarily on the lowest priority value, and by blocking redundant paths that might otherwise form loops. The correct and complete answers are B and",,,Tier C catalog — sample MCQs on dumps page; discovery only,2026-06-14
2026-06-14,examcollection-ccna,https://www.examcollection.com/200-301-dumps.html,200-301 v1.1,2,: Which two devices can be configured with Layer 3 interfaces to enable communication across different IP subnets?,A. Switch,B. Router,C. Hub,D. Bridge,"E. Wireless access point Correct Answers: A, B Explanation: Routing between different subnets is a Layer 3 function and requires network devices that can analyze and forward packets based on their IP addresses. Devices with Layer 3 interfaces are capable of handling this task by assigning IP addresses to ports and applying routing logic. Option A, the Switch, is correct—but only when referring to a Layer 3 switch. While traditional switches operate at Layer 2 and forward traffic based on MAC addresses, Layer 3 switches possess routing capabilities. They support SVIs (Switched Virtual Interfaces) or routed ports, which allow them to perform inter-VLAN routing. In enterprise networks, Layer 3 switches are commonly used to route traffic between VLANs directly, offering higher performance and lower latency than using separate routers for the same function. Option B, the Router, is also correct. Routers are dedicated Layer 3 devices, explicitly designed to connect and route traffic between different IP networks. Each interface on a router typically belongs to a different subnet and is configured with an IP address. Routers use routing protocols and routing tables to determine the best path to a destination network, making them essential for both enterprise and internet-scale communication. Now let’s analyze the incorrect options: Option C, Hub: A hub is a Layer 1 device. It lacks intelligence and simply replicates incoming electrical signals to all connected ports. It cannot inspect MAC or IP addresses and is completely incapable of handling any Layer 3 tasks, including routing. Option D, Bridge: A bridge operates at Layer 2, similar to a basic switch. Its job is to filter and forward traffic based on MAC addresses, but it cannot interpret or route IP packets. Therefore, it cannot be configured with Layer 3 interfaces. Option E, Access Point: While modern wireless access points may have IP addresses for management purposes, they operate primarily at Layer 2 to facilitate wireless connectivity. They are not designed to route packets between different IP subnets. At best, some APs might offer basic NAT or DHCP functions, but full Layer 3 routing is not within their core capabilities. In conclusion, both routers and Layer 3 switches are capable of handling routing between IP subnets by using Layer 3 interfaces. These devices enable inter-subnet communication and form the backbone of IP-based network infrastructure. The correct answers are A and",,,Tier C catalog — sample MCQs on dumps page; discovery only,2026-06-14
