discovered_at,source_id,source_url,source_version,source_question_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,stated_answer,topic_notes,date_found,bct_match_score,bct_match_slug
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8615,Refer to the following 'show lldp neighbor detail' output.,A. Software version,B. Management Address,C. Port Description,D. Uptime,E. Serial Number,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.14,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8618,Refer to the command outputs below and select all the correct statements.,A. The IP address 192.168.40.2 is reachable via Gi1/0/2 on SW01.,B. 192.168.101.1 is the IP address of interface VLAN 101 on switch SW01.,C. VLAN 95 has no hosts connected.,D. The IP address 192.168.40.2 is reachable via Gi1/0/23 on SW01.,E. The IP address 192.168.10.47 is reachable via Gi1/0/4 on SW01.,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.18,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8619,"You are the network analyst of FloodIT company and you need to restrict the management access to the RTR01 router, where just the IP 192.168.10.100 will be able to access it through SSH. No other host or protocol should be allowed. Which commands should be used to accomplish this task?",A. ip access-list standard SSH permit 192.168.10.100line vty 0 15 access-class SSH in transport input ssh,B. ip access-list standard SSH permit 192.168.10.100line vty 0 15 transport input ssh,C. ip access-list standard SSH permit 192.168.10.100line vty 0 15 access-class SSH in,D. ip access-list standard SSH permit tcp host 192.168.0.100 any eq 22line vty 0 15 access-class SSH in transport input ssh,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.21,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8620,"Considering the PAgP protocol, which statements are true?",A. It´s a Cisco proprietary protocol.,B. Can be configured as auto or desirable mode.,C. Can be configured as active or passive mode.,D. A port in the auto mode cannot form an EtherChannel with another port that is also in the auto mode.,E. A port in the desirable mode cannot form an EtherChannel with another port that is also in the desirable mode.,F. A port in the passive mode cannot form an EtherChannel with another port that is also in the passive mode.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.30,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8621,"Considering the LACP protocol, which statements are true?",A. It´s a Cisco proprietary protocol.,B. Can be configured as auto or desirable mode.,C. Can be configured as active or passive mode.,D. A port in the auto mode cannot form an EtherChannel with another port that is also in the auto mode.,E. A port in the desirable mode cannot form an EtherChannel with another port that is also in the desirable mode.,F. A port in the passive mode cannot form an EtherChannel with another port that is also in the passive mode.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.30,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8622,"You need to configure the switch SW01 to stablish a trunk connection to the SW02. On this configuration, SW01 must communicate through all the VLANs with SW02. All the untagged traffic must be tagged as VLAN 100. Which script you should use to accomplish this task?",A. SW01(config)#interface GigabitEthernet1/0/1 SW01(config-if)#switchport mode trunkSW01(config-if)#switchport access vlan 100,B. SW01(config)#interface GigabitEthernet1/0/1 SW01(config-if)#switchport mode trunkSW01(config-if)#switchport trunk native vlan 100,C. SW01(config)#interface GigabitEthernet1/0/1 SW01(config-if)#switchport mode trunkSW01(config-if)#switchport trunk allowed vlan 100,D. SW01(config)#interface GigabitEthernet1/0/1 SW01(config-if)#switchport mode accessSW01(config-if)#switchport access vlan 100,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.28,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8623,Refer to the 'show interface Gi1/0/1 switchport' output command below.,A. VLAN 1,B. VLAN 2,C. VLAN 5,D. VLAN 1001,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.19,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8624,Which protocol should be used to configure a trunk interface between some Cisco switch and a Cisco router?,A. 802.1q,B. 802.1p,C. 802.11a,D. ISL,E. LACP,F. PAgP,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.32,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8625,Refer to the 'show interface Gi1/0/23 switchport' command output.,"A. VLANs 7,10,15,20,30,40",B. VLANs 2 to 1001,C. Any VLAN,D. VLAN 1,"E. VLANs 5,7,10,15,20,30,40",F. VLAN 5,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.20,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8626,"You are including a new switch to your network infrastructure. Before connect the switch to the network, you delete all VLAN entries, configure VTP mode as client and configure the same VTP domain from the current network. When you connect the switch to the network, all the network stops responding. What can be the issue?",A. You forgot to setup the VTP password.,"B. The new switch has a higher Configuration Revision number than the current VTP setup. Due to this, the VLAN configuration from the new switch was propagated to all the network.","C. The new switch has a lowest Configuration Revision number than the current VTP setup. Due to this, the VLAN configuration from the new switch was propagated to all the network.",D. The new switch has a different VTP domain from the current VTP setup.,E. You should configure the new switch as VTP server.,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.20,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8627,"Considering the following command output, select all the correct statements.",A. This switch is using 802.1D protocol.,B. This interface Gi0/2 is in blocking state and will not communicate through VLAN 1.,"C. If the spanning-tree priority is changed to 28672, this switch will be elected as root bridge.",D. This switch is the root bridge for VLAN 1.,"E. If the spanning-tree priority is changed to 32767, this switch will be elected as root bridge.",F. The switch is not using the default cost value for the interface Gi0/1.,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.15,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8630,TCP and UDP protocols are part of which OSI Model layer?,A. Physical,B. Data Link,C. Network,D. Transport,E. Session,F. Presentation,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.31,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8631,"What are the standard ports used by SSH and HTTP protocols, respectively?",A. TCP/22 and TCP/80,B. TCP/21 and TCP/80,C. UDP/22 and UDP/80,D. TCP/22 and TCP/443,E. TCP/22 and TCP/81,F. TCP/22 and TCP/88,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.29,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8632,Select the characteristics of TCP protocol. Choose all that apply.,A. Connection oriented,B. Connectionless,C. Reliable,D. Higher header overhead,E. Sequencing of data packets,F. Re-transmission of lost packets,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.24,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8633,Which of the following are IP address networks reserved for private address as per RFC 1918?,A. 10.0.0.0/8,B. 172.16.0.0/12,C. 192.168.0.0/16,D. 100.0.0.0/16,E. 172.0.0.0/12,F. 172.168.0.0/16,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8634,"Which CIDR better fits the summarization of the prefixes 200.1.32.0/24, 200.1.33.0/24, 200.1.34.0/24 and 200.1.35.0/24?",A. 200.1.32.0/23,B. 200.1.32.0/22,C. 200.1.32.0/21,D. 200.1.32.0/20,E. 200.1.32.0/19,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.21,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8635,Which of the following are usable IP addresses?,A. 192.168.10.10/31,B. 192.168.0.16/29,C. 10.245.200.129/26,D. 200.201.255.224/27,E. 10.9.10.255/23,F. 192.168.255.31/27,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8636,What is the correct subnet mask for the prefix 192.168.123.0/27,A. 255.255.255.240,B. 255.255.255.224,C. 255.255.255.248,D. 255.255.255.220,E. 255.255.255.192,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.42,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8637,What is the correct wildcard mask for the prefix 200.116.222.0/29,A. 0.0.0.15,B. 0.0.0.7,C. 0.0.0.31,D. 255.255.255.248,E. 255.255.255.240,F. 255.255.255.224,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.31,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8638,Which command should be used to add a route to the subnet 10.0.0.0/25 using 192.168.1.1 as a gateway on IOS?,A. ip route 10.0.0.0 255.255.255.0 192.168.1.1,B. ip route 10.0.0.0 255.255.255.128 192.168.1.1,C. ip route 10.0.0.0 255.255.254.0 192.168.1.1 1,D. ip route 10.0.0.0/25 192.168.1.1,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.30,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8640,"On the table below, which Next Hop will be used to reach 192.168.1.10?",A. 172.16.1.2,B. 172.16.2.1,C. 172.16.3.1,D. 172.16.1.1,E. 172.16.10.1,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.38,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8642,"On the following routing table, which will be the next hop to the destination address 192.168.32.1?",A. 10.1.1.1,B. 10.1.1.2,C. 10.1.1.3,D. 10.1.1.4,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.45,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8644,Which interface level command should be used to configure it on OSPF area 10?,A. RTR1(config-if)#network 192.168.10.0 0.0.0.255 area 10,B. RTR1(config-if)#ip ospf 1 area 10,C. RTR1(config-if)#ip ospf area 10,D. RTR1(config-if)#ip ospf 10,E. RTR1(config-if)#ip ospf 10 area 1,F. RTR1(config-if)#ip ospf 192.168.10.0 255.255.255.0 area 10,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.24,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8645,Refer to the following show output.,A. This router is the designated router for area 1.,B. This router is using the default timer values.,C. This router is using 192.168.255.1 as router ID.,D. This router is using 192.168.255.3 as router ID.,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.18,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8646,Refer to the show ip route outputs below.,A. RTR1(config-router)#area 0 range 10.0.0.0 255.255.224.0RTR1(config-router)#default information originate,B. RTR1(config-router)#area 0 range 10.0.0.0 255.255.248.0RTR1(config-router)#default-information originate,C. RTR1(config-router)#area 0 range 10.0.0.0 255.255.240.0RTR1(config-router)#default-information originate always,D. RTR1(config-router)#area 0 range 10.0.0.0 255.255.240.0RTR1(config-router)#default-information originate,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.18,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8649,"Regarding the output below, which commands should be used to redistribute routes between OSPF and EIGRP? RTR4 must receive the default route either.",A. router eigrp 10 redistribute ospf 10 subnetsrouter ospf 10 redistribute eigrp 10 subnets,B. router eigrp 10 redistribute ospf 10 default-information originaterouter ospf 10 redistribute eigrp 10 subnets,C. router eigrp 10 redistribute ospf 10 metric 10000 100 255 1 1500router ospf 10 redistribute eigrp 10 subnets,D. router eigrp 10 redistribute ospf 10 metric 10000 100 255 1 1500 default-information originaterouter ospf 10 redistribute eigrp 10 subnets,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.20,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8650,"Regarding the following command output, which statements are true?","A. Regarding EIGRP metric weights, just bandwidth and delay will be considered to calculate the metric","B. Regarding EIGRP metric weights, just bandwidth and load will be considered to calculate the metric","C. Regarding EIGRP metric weights, just delay and reliability will be considered to calculate the metric",D. OSPF Area 10 is being redistributed into EIGRP AS 10,E. All prefixes redistributed from static routing table is using 170 as administrative distance,F. All prefixes redistributed from connected routing table is using 170 as administrative distance,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.25,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8651,Which statements are true regarding the following command line? Router(config)# ip nat inside source static 10.1.1.2 200.1.1.2,A. 10.1.1.2 is the outside global address,B. 200.1.1.2 is the inside global address,C. 200.1.1.2 is the inside local address,D. 10.1.1.2 is the inside local address,E. 200.1.1.2 is the outside global address,F. 10.1.1.2 is the inside global address,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.27,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8652,"An internal host cannot reach the 200.201.202.203 server on the internet. You were asked to fix this. Which commands you need to issue on RTR01 to accomplish this? BTW, the host already reaches RTR1, so don´t need to worry about routing issues. You need to allow the communication to any tcp port.",A. ip access-list extended NAT-HOST-WWW permit tcp host 10.0.0.10 host 200.201.202.203ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat insideinterface GigabitEthernet0/0/0 ip nat outside,B. ip access-list extended NAT-HOST-WWW permit ip 10.0.0.10 255.255.255.255 host 200.201.202.203ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat insideinterface GigabitEthernet0/0/0 ip nat outside,C. ip access-list extended NAT-HOST-WWW permit ip 10.0.0.0 0.0.0.255 host 200.201.202.203ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat insideinterface GigabitEthernet0/0/0 ip nat outside,D. ip access-list extended NAT-HOST-WWW permit ip host 10.0.0.10 host 200.201.202.203ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.12,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8653,"An internal HTTP service must be published to the internet using the standard HTTP port, as per the topology below. You were asked to publish only HTTP service (using the standard port) using the public IP 100.101.102.103. Which commands you need to issue on RTR01 to accomplish this? BTW, the server already reaches RTR1, so don´t need to worry about routing issues.",A. ip nat inside source static tcp 10.0.0.10 8080 100.101.102.103 80interface GigabitEthernet0/0/0 ip nat outsideinterface GigabitEthernet0/0/1 ip nat inside,B. ip access-list extended NAT-SERVER-WWW permit tcp any host 10.0.0.10 eq 8080ip nat inside source list NAT-HOST-WWW interface GigabitEthernet0/0/0 overloadinterface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,C. ip nat inside source static ip 10.0.0.10 100.101.102.103interface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,D. ip nat inside source static tcp 100.101.102.103 80 10.0.0.10 8080interface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.16,
2026-06-25,howtonetwork-ccna-walkthrough,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301 V_2025,8654,"You are the security engineer of SecureIT company. You need to implement a cloud proxy solution, where your local hosts will need to reach the proxy server to access any external website. Currently, all the hosts are using static proxy configuration pointing to the IP address 192.168.100.100 and port TCP/3080. Which configuration can be used to make this migration with low impact? The new proxy IP is 200.201.202.203 and the new TCP port is TCP/9400.",A. ip access-list extended WWW-HOST-NAT permit tcp 10.0.0.0 0.0.0.255 host 192.168.100.100 eq 3080ip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/0 overloadip nat outside source static tcp 200.201.202.203 9400 192.168.100.100 3080 ip route 192.168.100.100 255.255.255.255 GigabitEthernet0/0/0 interface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,B. ip access-list extended WWW-HOST-NAT permit tcp 10.0.0.0 0.0.0.255 host 192.168.100.100 eq 3080ip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/0 overloadip nat outside source static tcp 200.201.202.203 9400 192.168.100.100 3080 interface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,C. ip access-list extended WWW-HOST-NAT permit tcp 10.0.0.0 0.0.0.255 host 192.168.100.100 eq 3080ip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/0 overloadip nat outside source static 200.201.202.203 192.168.100.100 interface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,D. ip access-list extended WWW-HOST-NAT permit tcp 10.0.0.0 0.0.0.255 eq 3080 host 192.168.100.100ip nat inside source list WWW-HOST-NAT interface GigabitEthernet0/0/0 overloadip nat outside source static 200.201.202.203 192.168.100.100 interface GigabitEthernet0/0/1 ip nat outsideinterface GigabitEthernet0/0/0 ip nat inside,,,,Tier B — WatuPro walkthrough; verify answer on Cisco Tier A,2026-06-25,0.15,
